Designator,Mid X,Mid Y,Rotation,Layer
C1,127.770933,-123.721564,196.8,bottom
C10,152.87,-131.74,84.4,bottom
C11,150.25,-126.78,225.0,top
C12,156.41,-129.95,174.6,bottom
C13,137.13,-131.52,95.6,bottom
C14,135.33,-125.27,270.0,top
C15,140.75,-129.74,185.7,bottom
C16,122.935,-121.641,253.2,top
C2,142.325417,-126.616583,185.7,bottom
C3,157.276556,-126.655409,174.6,bottom
C4,172.205877,-123.728593,163.2,bottom
C5,121.841,-124.859,253.2,top
C6,128.882,-120.314,196.8,bottom
C7,168.896,-129.818077,73.2,bottom
C8,167.325422,-126.926774,260.0,bottom
C9,171.088077,-120.754,163.2,bottom
D1,124.82,-117.61,73.2,top
J1,150.0,-117.0,180.0,top
J2,179.58649679111767,-135.4264334289751,190.0,top
MOTOR1,138.2955947452501,-139.68766347288397,174.4,top
MOTOR2,156.79001458027872,-140.19480433355417,184.3,top
MOTOR3,166.98041393658914,-138.84186564323215,190.8,top
MOTOR4,124.287203019928,-136.71816625800219,163.1,top
R1,147.394653,-129.763522,264.3,top
R10,176.37,-123.56,286.8,top
R11,175.162761,-123.872406,286.8,top
R12,177.47,-123.25,106.8,top
R13,159.86,-127.43,275.6,top
R14,163.96,-133.64,45.0,bottom
R15,160.85,-127.35,275.6,top
R16,163.52,-137.79,275.0,bottom
R17,126.64,-118.23,106.8,bottom
R2,147.466,-138.516,264.3,top
R3,148.659,-129.971,264.3,top
R4,149.303,-138.692,84.3,top
R5,134.265,-127.621,253.1,top
R6,131.775,-136.66,73.1,top
R7,135.466,-128.035,253.1,top
R8,130.064,-136.74,253.1,top
R9,174.09,-124.2,286.8,top
U1,141.625733,-133.601637,5.599999999999994,bottom
U2,157.935933,-133.601649,354.4,bottom
U3,174.224561,-130.431155,343.2,bottom
U4,125.579826,-130.422838,16.900000000000006,bottom
