Designator,Mid X,Mid Y,Rotation,Layer
A1,195.0,-100.0,90.0,top
A10,108.42542091820734,-117.22075401257867,292.5,top
A11,118.18019451710705,-131.81980451710706,315.0,top
A12,132.77924601257865,-141.57457891820732,337.5,top
A13,150.0,-145.0,0.0,top
A14,167.22075401257865,-141.57457908179268,22.5,top
A15,181.81980451710703,-131.81980548289295,45.0,top
A16,191.5745785355239,-117.22075491130087,67.5,top
A2,191.57457908179268,-82.77924598742133,112.5,top
A3,181.81980548289297,-68.18019548289294,135.0,top
A4,167.22075398742135,-58.42542108179268,157.5,top
A5,150.0,-55.0,180.0,top
A6,132.77924598742135,-58.42542091820732,202.5,top
A7,118.18019548289294,-68.18019451710705,225.0,top
A8,108.42542108179266,-82.77924601257867,247.5,top
A9,105.0,-100.0,270.0,top
C1,123.0,-83.3,45.0,bottom
C25,129.7,-79.7,225.0,bottom
C35,122.92,-131.8,225.0,bottom
C36,122.952,-71.04,45.0,top
C4,120.9,-81.2,45.0,bottom
C5,119.8,-79.1,315.0,bottom
C6,124.649,-75.437,135.0,bottom
C8,130.0,-85.7,135.0,bottom
D17,131.501,-68.604,180.0,top
D21,131.481,-70.477,180.0,top
J1,124.00353544842766,-127.01060722421383,45.0,top
J2,122.46,-90.475231,270.0,top
R11,126.948,-70.267,45.0,top
R4,128.611,-71.972,45.0,top
R5,117.099,-85.938,225.0,top
R6,115.865,-84.637,225.0,top
R7,129.717,-87.11,225.0,top
R8,110.681,-95.058,101.25,bottom
R9,111.508,-89.354,101.25,bottom
SW2,133.563,-87.942,270.0,top
TYPE-C1,107.826233,-91.611116,101.25,bottom
U2,125.0,-80.0,315.0,top
Y1,126.9,-82.6,315.0,bottom
