Designator,Mid X,Mid Y,Rotation,Layer
A1,150.01,-90.381,180.0,top
BZ1,177.176,-73.13,0.0,top
C1,164.034,-82.428,0.0,top
C10,170.427,-64.775,270.0,top
C11,162.374,-61.409,270.0,bottom
C12,160.423,-61.459,270.0,bottom
C26,147.51,-128.03,180.0,top
CAMERA1,113.138159,-74.189061,55.0,top
CAMERA2,107.713832,-84.609094,70.0,top
CATCHSENSOR1,177.468,-78.49,0.0,bottom
GYRO1,165.01,-85.0,0.0,top
J1,123.99292944842766,-127.02121322421382,315.0,bottom
J2,172.0,-122.0,180.0,bottom
J3,138.024,-58.821,180.0,top
J6,130.0,-100.0,270.0,top
KICK1,167.0,-75.0,180.0,bottom
LED1,163.34,-66.954,0.0,bottom
LINE1,170.0,-105.525,0.0,bottom
MONITOR1,150.0,-138.0,0.0,top
Q1,132.9125,-120.0,90.0,top
Q2,128.0,-120.0,90.0,top
R1,165.033,-63.054,90.0,top
R10,131.95,-116.3,270.0,top
R11,127.05,-116.2,270.0,top
R12,147.14,-119.64,180.0,top
R13,146.41,-117.08,180.0,top
R14,160.8,-117.02,180.0,top
R15,146.42,-114.5,180.0,top
R2,176.266,-89.798,270.0,top
R3,133.7,-123.4,180.0,top
R4,128.8,-123.4,180.0,top
R5,154.817,-78.923,180.0,top
R6,154.731,-81.608,180.0,top
R7,160.8,-119.75,180.0,top
R8,117.645,-106.152,0.0,top
R9,117.645,-108.977,0.0,top
TACT1,134.0,-159.775,90.0,top
TACT2,147.0,-159.775,90.0,top
TACT3,160.0,-159.775,90.0,top
TACT4,127.5,-138.0,90.0,top
TOGGLESWITCH1,172.025,-159.79,0.0,top
TYPE-C1,104.92,-103.01,95.0,top
