Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",CP_Radial_D8.0mm_P3.50mm,4,150μF,
"D1, D2, D3, D4",DRV8835,4,~,
J1,CON_522710879_MOL,1,Conn_01x08_Pin,
"MOTOR_1, MOTOR_2, MOTOR_3, MOTOR_4",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,Conn_01x02_Socket,
電源,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
