Designator,Mid X,Mid Y,Rotation,Layer
A1,150.0,-55.0,180.0,top
A10,132.662905,-141.458238,337.5,top
A11,118.023001,-131.662611,315.0,top
A12,108.30908,-117.104413,292.5,top
A13,105.0,-100.0,270.0,top
A14,108.541761,-82.662905,247.5,top
A15,118.337389,-68.023001,225.0,top
A16,132.895586,-58.30908,202.5,top
A2,167.337094,-58.541761,157.5,top
A3,181.976999,-68.337389,135.0,top
A4,191.690919,-82.895586,112.5,top
A5,195.0,-100.0,90.0,top
A6,191.458238,-117.337094,67.5,top
A7,181.662611,-131.976999,45.0,top
A8,167.104413,-141.690919,22.5,top
A9,150.0,-145.0,0.0,top
J1,187.0,-99.99,180.0,top
J2,113.0,-100.0,0.0,top
